Marca temporal,Grado de estudios,Sexo,Edad (Años),Peso (kg),Altura (m),¿Tienes alguna enfermedad crónica o cardiovascular?,Días por semana de actividad física,Tiempo de ejercicio por día ,¿Fumas?,Número de veces promedio que te lavas las manos al día,¿Has tenido algún familiar con Covid-19 recientemente?,¿Usas cubrebocas en los lugares públicos?
2021/03/03 7:07:42 p. m. GMT-6,2° Semestre,Masculino,15 - 16,60,1.83,No,4-5,30 min - 1h,No,Entre 3 y 5,No,Sí
2021/03/03 7:11:21 p. m. GMT-6,6° Semestre,Femenino,17 - 18,38,1.57,No,0,Nunca hago ejercicio,No,7 o más,No,Sí
2021/03/03 7:12:21 p. m. GMT-6,6° Semestre,Femenino,17 - 18,45,1.65,No,4-5,30 min - 1h,No,7 o más,No,Sí
2021/03/03 7:14:50 p. m. GMT-6,2° Semestre,Masculino,15 - 16,70,1.75,No,0,Nunca hago ejercicio,No,Entre 3 y 5,No,Sí
2021/03/03 7:15:02 p. m. GMT-6,6° Semestre,Femenino,17 - 18,70,1.64,Sí,4-5,1h - 1h30,No,Entre 3 y 5,No,Sí
2021/03/03 7:15:11 p. m. GMT-6,6° Semestre,Femenino,18 o mas,65,1.56,No,0,Nunca hago ejercicio,No,Entre 3 y 5,Sí,Sí
2021/03/03 7:16:30 p. m. GMT-6,4° Semestre,Masculino,15 - 16,70,1.8,No,1-3,Menos de 30 min,No,Entre 3 y 5,Sí,Sí
2021/03/03 7:19:59 p. m. GMT-6,2° Semestre,Femenino,15 - 16,54,1.6,No,1-3,30 min - 1h,No,Entre 3 y 5,Sí,Sí
2021/03/03 7:21:39 p. m. GMT-6,2° Semestre,Femenino,15 - 16,65,1.67,No,1-3,30 min - 1h,No,Menos de 3,Sí,Sí
2021/03/03 7:22:09 p. m. GMT-6,6° Semestre,Masculino,17 - 18,80,1.80,No,4-5,Menos de 30 min,No,Entre 3 y 5,No,Sí
2021/03/03 7:23:33 p. m. GMT-6,4° Semestre,Masculino,15 - 16,60,1.65,No,4-5,30 min - 1h,No,7 o más,Sí,Sí
2021/03/03 7:25:41 p. m. GMT-6,6° Semestre,Masculino,17 - 18,0,0,No,0,Nunca hago ejercicio,No,7 o más,Sí,Sí
2021/03/03 7:26:53 p. m. GMT-6,2° Semestre,Masculino,15 - 16,65,1.83,No,6-7,Más de 2h,No,7 o más,No,Sí
2021/03/03 7:27:09 p. m. GMT-6,6° Semestre,Masculino,17 - 18,73,1.76,No,1-3,30 min - 1h,No,Entre 3 y 5,No,Sí
2021/03/03 7:27:28 p. m. GMT-6,6° Semestre,Masculino,17 - 18,50,1.69,No,1-3,Menos de 30 min,No,7 o más,Sí,Sí
2021/03/03 7:28:29 p. m. GMT-6,6° Semestre,Femenino,17 - 18,43.5,1.49,No,1-3,Menos de 30 min,No,7 o más,No,Sí
2021/03/03 7:29:08 p. m. GMT-6,6° Semestre,Masculino,17 - 18,75,1.85,No,4-5,1h - 1h30,No,7 o más,No,Sí
2021/03/03 7:29:10 p. m. GMT-6,6° Semestre,Femenino,18 o mas,60,1.59,No,4-5,Menos de 30 min,No,7 o más,No,Sí
2021/03/03 7:29:15 p. m. GMT-6,6° Semestre,Masculino,18 o mas,68,1.68,No,1-3,30 min - 1h,No,Entre 3 y 5,No,Sí
2021/03/03 7:29:52 p. m. GMT-6,6° Semestre,Masculino,17 - 18,63,1.80,No,1-3,Más de 2h,No,Entre 3 y 5,No,Sí
2021/03/03 7:31:12 p. m. GMT-6,6° Semestre,Femenino,17 - 18,58,1.6,No,0,Nunca hago ejercicio,No,Menos de 3,No,Sí
2021/03/03 7:31:47 p. m. GMT-6,6° Semestre,Masculino,17 - 18,63,1.65,No,4-5,30 min - 1h,No,Entre 3 y 5,No,Sí
2021/03/03 7:32:58 p. m. GMT-6,6° Semestre,Masculino,17 - 18,65,1.52,No,1-3,30 min - 1h,No,Entre 3 y 5,No,Sí
2021/03/03 7:33:18 p. m. GMT-6,2° Semestre,Masculino,15 - 16,65,1.75,No,0,Menos de 30 min,No,7 o más,Sí,Sí
2021/03/03 7:36:39 p. m. GMT-6,6° Semestre,Femenino,17 - 18,45,1.6,No,1-3,30 min - 1h,No,7 o más,No,Sí
